sample_id_a,sample_id_b,standardized_log_rate_distance
27498,47327,4.299692417672704
27498,49029,3.5587268283634064
27872,28451,2.8539211680089576
27872,28634,4.55802320893536
27872,29419,4.195794360249118
27872,29959,4.321909840508178
27872,30902,2.297642881616154
27872,31498,3.8169841855136393
27872,32755,4.429944407524626
27872,34287,3.8974782938682906
27872,36402,4.447388079171618
27872,37318,4.899615819420759
27872,38506,5.327619602992844
27872,39172,3.4581449623484044
27872,41698,4.798549928764035
27872,43651,2.966026136108676
27872,44207,4.856297710357993
27872,46580,3.3594657908524
27872,46829,4.472521177247731
27872,47327,3.3799784022020876
27872,49029,2.302273293579012
28451,28634,4.652416824540742
28451,29419,3.774016530583239
28451,29959,4.543848499002251
28451,30902,3.705229152389955
28451,31498,3.9625913241264255
28451,32755,5.057376038062219
28451,34287,4.715655279526257
28451,36402,4.6479549470996195
28451,37318,5.697604983216741
28451,38506,5.697645079834086
28451,39172,4.291626952999294
28451,41698,5.073588909561827
28451,43651,4.07948035387217
28451,44207,5.477076976952734
28451,46580,4.117215458600446
28451,46829,5.116969196973381
28451,47327,4.287800455323816
28451,49029,3.9631178709674706
28634,29419,4.773546875685125
28634,29959,5.326578207011381
28634,30902,3.689730100786807
28634,31498,4.206889194537271
28634,32755,3.101152510295107
28634,34287,3.422377458137977
28634,36402,3.2290044612883917
28634,37318,5.259823553412492
28634,38506,3.9789306787432457
28634,39172,5.12086260028159
28634,41698,3.1931630396210204
28634,43651,4.380518597436193
28634,44207,3.4722555960639134
28634,46580,4.641359114429663
28634,46829,2.42429101268686
28634,47327,3.0705560983190305
28634,49029,5.029204164347514
29419,29959,5.1290945744521625
29419,30902,4.428083372697979
29419,31498,4.927921773876666
29419,32755,3.7128217631248317
29419,34287,3.3470174455165025
29419,36402,4.531123887002844
29419,37318,6.4519784990607185
29419,38506,4.308949065028041
29419,39172,5.1353109069401475
29419,41698,4.319593893562442
29419,43651,3.7405275504630855
29419,44207,4.002463599493938
29419,46580,3.9603919829806618
29419,46829,4.57859635772798
29419,47327,4.480280883651828
29419,49029,4.522264050582254
29959,30902,4.099520106719648
29959,31498,5.735172449258897
29959,32755,5.58827480739152
29959,34287,4.795780509861977
29959,36402,4.527861554304947
29959,37318,3.8659921996152535
29959,38506,5.108380326469001
29959,39172,3.657070774591133
29959,41698,5.895952282253885
29959,43651,4.349443517469938
29959,44207,5.83700173721623
29959,46580,4.964924688285161
29959,46829,4.812454515983485
29959,47327,5.057879899855714
29959,49029,4.180617522808825
30902,31498,3.722066038591963
30902,32755,3.839027468462586
30902,34287,4.085098637922354
30902,36402,3.2878744430221674
30902,37318,4.5178571466933715
30902,38506,5.173712273841998
30902,39172,2.5818001932864867
30902,41698,4.838333046350676
30902,43651,2.7387513865861712
30902,44207,4.625225609555034
30902,46580,3.362481469619664
30902,46829,3.642891198998548
30902,47327,3.043881930224186
30902,49029,2.812651975140225
31498,32755,4.231078123121503
31498,34287,4.799550858304221
31498,36402,3.703297574908973
31498,37318,5.840076352943469
31498,38506,4.78425325167886
31498,39172,5.256391546440499
31498,41698,4.899735850496899
31498,43651,3.46980964412141
31498,44207,5.874344229542509
31498,46580,4.3077565595842175
31498,46829,4.106916365169383
31498,47327,2.459880664283259
31498,49029,4.64970895389677
32755,34287,3.1126775033671854
32755,36402,2.538493044793037
32755,37318,5.487245314858697
32755,38506,3.3697806850557788
32755,39172,5.078997098702471
32755,41698,3.698456392402821
32755,43651,3.184135987420603
32755,44207,3.362874989616186
32755,46580,4.159280031343571
32755,46829,3.1576919454968637
32755,47327,3.4251753050054092
32755,49029,3.9701786805063026
34287,36402,4.28750736548126
34287,37318,5.838437180249327
34287,38506,3.4665081561452413
34287,39172,5.081264283857783
34287,41698,2.493170161448776
34287,43651,3.8889601126200612
34287,44207,2.4684737550882168
34287,46580,3.534077600535452
34287,46829,3.29972113650354
34287,47327,3.5678672152689668
34287,49029,4.239163423757033
36402,37318,4.869324554408241
36402,38506,4.040184143583312
36402,39172,4.038913187906787
36402,41698,4.901305436047852
36402,43651,3.091736252048638
36402,44207,4.990284114306767
36402,46580,4.766411340014567
36402,46829,3.0272923923260158
36402,47327,3.2942607780595567
36402,49029,4.024046590425821
37318,38506,5.417403510651526
37318,39172,5.259847477797822
37318,41698,6.542323885927924
37318,43651,4.4317007458110025
37318,44207,6.011164485212384
37318,46580,5.9401692586302834
37318,46829,5.409591954244832
37318,47327,5.297645345948069
37318,49029,4.703150411124462
38506,39172,6.051406213368451
38506,41698,3.925816713818869
38506,43651,4.109273532118402
38506,44207,4.544659234351517
38506,46580,4.844125515029049
38506,46829,2.798188464998617
38506,47327,3.7161133815736154
38506,49029,5.097325844080766
39172,41698,6.342573153589151
39172,43651,3.6161016511435484
39172,44207,6.031981446813938
39172,46580,4.405174224724936
39172,46829,4.7932493632513395
39172,47327,4.648299875178754
39172,49029,2.998232771991921
41698,43651,5.3093721389552115
41698,44207,2.4910920935020817
41698,46580,3.9848259409448983
41698,46829,3.5053667811099927
41698,47327,3.7346941834671235
41698,49029,5.360958842547645
43651,44207,5.045672434450698
43651,46580,3.597516888054184
43651,46829,3.9921556685743047
43651,47327,3.462063614975607
43651,49029,2.654254206046357
44207,46580,4.3032999103508995
44207,46829,4.206621524692606
44207,47327,4.552422009236088
44207,49029,5.159207328608591
46580,46829,4.612803708110661
46580,47327,4.250233380081332
46580,49029,3.2551749912260672
46829,47327,2.2939081357829325
46829,49029,4.7158009303821125
47327,49029,4.251030211311778
